test case	train case 1	train case 2	train case 3	train case 4
s151_d_1_neg	s151_d_2_neg	s151_d_2_pos	s151_d_3_B_neg	s151_d_3_B_pos
s151_d_1_pos	s151_d_2_neg	s151_d_2_pos	s151_d_3_B_neg	s151_d_3_B_pos
s151_d_3_A_neg	s151_d_3_B_neg	s151_d_3_B_pos	s151_d_2_neg	s151_d_2_pos
s151_d_3_A_pos	s151_d_3_B_neg	s151_d_3_B_pos	s151_d_2_neg	s151_d_2_pos
s151_d_5_neg	s151_d_2_neg	s151_d_2_pos	s151_d_3_B_neg	s151_d_3_B_pos
s151_d_5_pos	s151_d_2_neg	s151_d_2_pos	s151_d_3_B_neg	s151_d_3_B_pos
s152_a_neg	s152_b_1_neg	s152_b_1_pos	s152_b_2_neg	s152_b_2_pos
s152_a_pos	s152_b_1_neg	s152_b_1_pos	s152_b_2_neg	s152_b_2_pos
s152_c_2_A_neg	s152_c_2_B_neg	s152_c_2_B_pos	s152_c_2_neg	s152_c_2_pos
s152_c_2_A_pos	s152_c_2_B_neg	s152_c_2_B_pos	s152_c_2_neg	s152_c_2_pos
s152_d_1_D_neg	s152_d_1_B_neg	s152_d_1_B_pos	s152_d_2_B_neg	s152_d_2_B_pos
s152_d_1_D_pos	s152_d_1_B_neg	s152_d_1_B_pos	s152_d_2_B_neg	s152_d_2_B_pos
s152_d_2_A_neg	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_A_pos	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_C_neg	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_C_pos	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_G_neg	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
s152_d_2_G_pos	s152_d_2_B_neg	s152_d_2_B_pos	s152_d_2_D_neg	s152_d_2_D_pos
